Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[mm],[um],[um]
14.910273,11.204368,4.009876,200.000490,56.774023,0.125259,300.000000,302.000000,297.000000
14.923545,11.153369,3.999684,200.102490,55.091317,-0.180672,307.000000,307.000000,303.000000
14.936902,11.178869,3.999684,200.000490,56.926997,0.023282,294.000000,299.000000,292.000000
14.950226,11.025871,4.025164,200.408490,55.856184,0.023282,301.000000,298.000000,296.000000
14.963613,11.153369,3.999684,200.153490,57.232943,0.023282,298.000000,300.000000,298.000000
14.976909,11.076871,4.014972,200.408490,54.938344,0.023282,301.000000,300.000000,298.000000
14.990189,11.051371,4.009876,200.408490,53.867531,0.125259,299.000000,298.000000,297.000000
15.003575,11.153369,3.999684,200.102490,54.020504,-0.180672,296.000000,300.000000,295.000000
15.016936,11.127870,4.009876,200.204490,53.867531,0.023282,297.000000,300.000000,295.000000
15.030258,11.051371,4.025164,200.204490,59.604030,0.023282,296.000000,299.000000,293.000000
15.043563,10.949373,4.014972,200.153490,58.839163,-0.078695,298.000000,301.000000,295.000000
15.056896,11.000372,4.014972,200.102490,57.768350,0.227236,304.000000,304.000000,302.000000
15.070227,10.974872,4.009876,200.153490,57.768350,-0.180672,304.000000,309.000000,302.000000
15.083560,10.949373,3.999684,200.102490,56.162130,-0.180672,299.000000,303.000000,297.000000
15.096995,10.923873,4.009876,200.408490,56.697537,0.125259,301.000000,303.000000,298.000000
15.110252,10.872874,4.014972,200.204490,54.938344,0.227236,300.000000,305.000000,298.000000
15.123582,11.051371,3.999684,200.153490,56.085644,0.125259,298.000000,300.000000,296.000000
15.136915,11.025871,3.999684,200.459490,54.096991,-0.078695,299.000000,301.000000,295.000000
15.150242,11.051371,4.009876,200.204490,52.949691,0.023282,301.000000,304.000000,298.000000
15.163615,11.000372,4.014972,200.306490,55.703210,0.329213,291.000000,310.000000,294.000000
15.176892,11.000372,4.025164,200.204490,54.708884,0.329213,305.000000,307.000000,300.000000
15.190228,11.025871,4.025164,200.408490,57.691863,0.125259,306.000000,310.000000,304.000000
15.203554,11.076871,4.009876,200.255490,56.850510,0.431190,298.000000,299.000000,294.000000
15.216918,11.102370,4.014972,200.255490,57.003483,0.227236,299.000000,301.000000,296.000000
15.230271,11.076871,4.014972,200.255490,59.145110,-0.180672,303.000000,317.000000,307.000000
15.243580,11.051371,4.025164,200.357490,57.844837,0.023282,304.000000,305.000000,301.000000
15.256913,11.204368,3.999684,200.357490,58.992136,-0.180672,305.000000,314.000000,306.000000
15.270215,11.204368,4.009876,200.255490,57.921323,-0.180672,298.000000,304.000000,296.000000
15.283583,11.255368,3.999684,200.000490,58.762676,0.125259,304.000000,309.000000,304.000000
15.296939,11.357366,4.025164,200.306490,58.915650,0.023282,304.000000,307.000000,302.000000
